Law ID,state,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change
CT1036,Connecticut,9,13,waiting period,,long gun,,
CT1037,Connecticut,9,1,background checks,sales from dealer,long gun,,
CT1038,Connecticut,9,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
CT1039,Connecticut,9,6,firearm sales restrictions,assault weapons ban,handgun,Restrictive,Implement
CT1040,Connecticut,9,1,background checks,permit to purchase,handgun,Restrictive,Implement
CT1041,Connecticut,9,1,background checks,private sales,long gun,,
CT1042,Connecticut,9,10,prohibited possessor,erpo,handgun and long gun,Restrictive,Implement
CT1043,Connecticut,9,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
CT1044,Connecticut,9,10,prohibited possessor,mental health : committed to mh facility : voluntary,handgun and long gun,Restrictive,Implement
CT1045,Connecticut,9,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Implement
CT1046,Connecticut,9,10,prohibited possessor,dvro : ex parte : expanded,handgun and long gun,Restrictive,Implement
CT1047,Connecticut,9,12,safety training required,to purchase,handgun,,
CT1048,Connecticut,9,12,safety training required,to purchase,handgun,Restrictive,Implement
CT1049,Connecticut,9,12,safety training required,to carry,handgun,Restrictive,Implement
CT1050,Connecticut,9,10,prohibited possessor,erpo,handgun and long gun,,
CT1051,Connecticut,9,10,prohibited possessor,dvro,handgun and long gun,,
CT1052,Connecticut,9,10,prohibited possessor,mental health,handgun and long gun,,
CT1053,Connecticut,9,1,background checks,private sales,long gun,Restrictive,Implement
CT1054,Connecticut,9,12,safety training required,,long gun,,
CT1055,Connecticut,9,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
CT1056,Connecticut,9,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
CT1057,Connecticut,9,6,firearm sales restrictions,,handgun and long gun,,
CT1058,Connecticut,9,8,open carry,not restricted,long gun,,
CT1059,Connecticut,9,9,permit to purchase,,handgun,,
CT1060,Connecticut,9,9,permit to purchase,,long gun,,
CT1061,Connecticut,9,3,castle doctrine,,handgun and long gun,Permissive,Implement
CT1062,Connecticut,9,10,prohibited possessor,dvro : surrender,handgun and long gun,Restrictive,Modify
CT1063,Connecticut,9,14,firearm removal at scene of domestic violence,,handgun and long gun,,
CT1064,Connecticut,9,14,firearm removal at scene of domestic violence,authorized,handgun and long gun,Restrictive,Implement
CT1065,Connecticut,9,13,firearms in college/university,,handgun and long gun,,
CT1066,Connecticut,9,12,local laws preempted by state,,handgun and long gun,,
CT1067,Connecticut,9,12,local laws preempted by state,selective : sale of handguns by private seller,handgun,Permissive,Modify
CT1068,Connecticut,9,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
CT1069,Connecticut,9,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
CT1070,Connecticut,9,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
CT1071,Connecticut,9,11,required reporting of lost or stolen firearms,,handgun and long gun,,
DE1001,Delaware,10,1,background checks,private sales,long gun,Restrictive,Implement
DE1002,Delaware,10,1,background checks,private sales,handgun,,
DE1003,Delaware,10,1,background checks,sales from dealer,long gun,Restrictive,Implement
DE1004,Delaware,10,1,background checks,sales from dealer,handgun,,
DE1005,Delaware,10,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Modify
DE1006,Delaware,10,3,castle doctrine,expanded 1,handgun and long gun,Permissive,Implement
DE1007,Delaware,10,4,child access laws,negligent storage,handgun and long gun,,
DE1008,Delaware,10,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
DE1009,Delaware,10,5,dealer license,,handgun,Restrictive,Implement
DE1010,Delaware,10,5,dealer license,,long gun,,
DE1011,Delaware,10,7,minimum age,youth possession,handgun,Restrictive,Implement
DE1012,Delaware,10,7,minimum age,youth possession,handgun,,
DE1013,Delaware,10,7,minimum age,purchase and sale,long gun,,
DE1014,Delaware,10,7,minimum age,purchase and sale,handgun,Restrictive,Implement
DE1015,Delaware,10,7,minimum age,purchase and sale,handgun,Restrictive,Modify
DE1016,Delaware,10,7,minimum age,purchase and sale,long gun,Restrictive,Implement
DE1018,Delaware,10,8,open carry,not restricted,long gun,,
DE1019,Delaware,10,1,background checks,private sales optional,handgun,Restrictive,Implement
DE1020,Delaware,10,11,registration,,handgun,,
DE1021,Delaware,10,1,background checks,extra time,long gun,Restrictive,Implement
DE1022,Delaware,10,1,background checks,state version of Brady requirements,handgun,Restrictive,Implement
DE1023,Delaware,10,13,waiting period,,handgun,,
DE1024,Delaware,10,1,background checks,sales from dealer,handgun,Restrictive,Implement
DE1025,Delaware,10,1,background checks,sales from dealer,long gun,,
DE1026,Delaware,10,1,background checks,private sales,handgun,Restrictive,Implement
DE1027,Delaware,10,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
DE1028,Delaware,10,11,registration,,long gun,,
DE1029,Delaware,10,1,background checks,private sales,long gun,,
DE1030,Delaware,10,13,waiting period,,long gun,,
DE1031,Delaware,10,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
DE1032,Delaware,10,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Modify
DE1033,Delaware,10,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Modify
DE1034,Delaware,10,10,prohibited possessor,dvro : discretionary removal,handgun and long gun,Restrictive,Modify
DE1035,Delaware,10,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Modify
DE1036,Delaware,10,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement
DE1037,Delaware,10,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement
DE1038,Delaware,10,12,safety training required,,handgun,,
DE1039,Delaware,10,10,prohibited possessor,erpo,handgun and long gun,,
DE1040,Delaware,10,10,prohibited possessor,dvro,handgun and long gun,,
DE1041,Delaware,10,10,prohibited possessor,mental health,handgun and long gun,,
DE1042,Delaware,10,1,background checks,private sales optional,long gun,Restrictive,Implement
DE1043,Delaware,10,12,safety training required,,long gun,,
DE1044,Delaware,10,7,minimum age,youth possession,long gun,,
DE1045,Delaware,10,10,prohibited possessor,dvro : discretionary surrender,handgun and long gun,Restrictive,Implement
DE1046,Delaware,10,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
DE1047,Delaware,10,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
DE1048,Delaware,10,9,permit to purchase,,handgun,,
DE1049,Delaware,10,9,permit to purchase,,long gun,,
DE1050,Delaware,10,8,open carry,not restricted,handgun,,
DE1051,Delaware,10,6,firearm sales restrictions,,handgun and long gun,,
DE1052,Delaware,10,3,castle doctrine,,handgun and long gun,Permissive,Implement
DE1053,Delaware,10,1,background checks,extra time,handgun,Restrictive,Implement
DE1054,Delaware,10,14,firearm removal at scene of domestic violence,,handgun and long gun,,
DE1055,Delaware,10,13,firearms in college/university,,handgun and long gun,,
DE1056,Delaware,10,12,local laws preempted by state,,handgun and long gun,,
DE1057,Delaware,10,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Modify
DE1058,Delaware,10,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
DE1059,Delaware,10,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
DE1060,Delaware,10,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
DE1061,Delaware,10,11,required reporting of lost or stolen firearms,,handgun and long gun,,
DC1001,District of Columbia,11,1,background checks,permit to purchase,long gun,Restrictive,Implement
DC1002,District of Columbia,11,1,background checks,private sales,handgun,,
DC1003,District of Columbia,11,1,background checks,sales from dealer,handgun,,
DC1004,District of Columbia,11,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
DC1005,District of Columbia,11,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
DC1007,District of Columbia,11,5,dealer license,,long gun,Restrictive,Implement
DC1008,District of Columbia,11,6,firearm sales restrictions,assault weapons ban,handgun,Restrictive,Implement
DC1009,District of Columbia,11,6,firearm sales restrictions,handgun ban,handgun,Restrictive,Implement
DC1010,District of Columbia,11,6,firearm sales restrictions,handgun ban,handgun,Permissive,Repeal
DC1011,District of Columbia,11,7,minimum age,youth possession,handgun,,
DC1012,District of Columbia,11,7,minimum age,youth possession,long gun,Restrictive,Implement
DC1013,District of Columbia,11,7,minimum age,purchase and sale,handgun,Restrictive,Implement
DC1014,District of Columbia,11,7,minimum age,purchase and sale,handgun,Restrictive,Modify
DC1015,District of Columbia,11,6,firearm sales restrictions,one gun per month,handgun,Restrictive,Implement
DC1016,District of Columbia,11,8,open carry,prohibited,handgun,Restrictive,Implement
DC1017,District of Columbia,11,8,open carry,prohibited,long gun,Restrictive,Implement
DC1018,District of Columbia,11,11,registration,,handgun,,
DC1019,District of Columbia,11,13,waiting period,,handgun,Restrictive,Implement
DC1020,District of Columbia,11,13,waiting period,,long gun,Restrictive,Modify
DC1021,District of Columbia,11,1,background checks,sales from dealer,long gun,Restrictive,Implement
DC1022,District of Columbia,11,5,dealer license,,handgun,Restrictive,Implement
DC1023,District of Columbia,11,6,firearm sales restrictions,assault weapons ban,long gun,Restrictive,Implement
DC1024,District of Columbia,11,11,registration,,long gun,,
DC1025,District of Columbia,11,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
DC1026,District of Columbia,11,13,waiting period,,handgun,Restrictive,Modify
DC1027,District of Columbia,11,9,permit to purchase,,handgun,Restrictive,Implement
DC1028,District of Columbia,11,9,permit to purchase,,long gun,Restrictive,Implement
DC1030,District of Columbia,11,6,firearm sales restrictions,one gun per month,handgun,Permissive,Repeal
DC1031,District of Columbia,11,7,minimum age,purchase and sale,long gun,Restrictive,Implement
DC1032,District of Columbia,11,7,minimum age,youth possession,handgun,Restrictive,Implement
DC1033,District of Columbia,11,10,prohibited possessor,mental health : committed to mh facility : voluntary,handgun and long gun,Restrictive,Implement
DC1034,District of Columbia,11,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement
DC1035,District of Columbia,11,10,prohibited possessor,erpo,handgun and long gun,Restrictive,Implement
DC1036,District of Columbia,11,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement
DC1037,District of Columbia,11,12,safety training required,to purchase,handgun,,
DC1038,District of Columbia,11,12,safety training required,to purchase,handgun,Restrictive,Implement
DC1039,District of Columbia,11,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
DC1040,District of Columbia,11,10,prohibited possessor,erpo,handgun and long gun,,
DC1041,District of Columbia,11,12,safety training required,to purchase,long gun,Restrictive,Implement
DC1042,District of Columbia,11,11,registration,,handgun,Restrictive,Implement
DC1043,District of Columbia,11,11,registration,,long gun,Restrictive,Implement
DC1044,District of Columbia,11,12,safety training required,to purchase,long gun,,
DC1045,District of Columbia,11,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
DC1046,District of Columbia,11,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
DC1047,District of Columbia,11,8,open carry,not restricted,long gun,,
DC1048,DIstrict of Columbia,11,3,castle doctrine,,handgun and long gun,Permissive,Implement
DC1049,District of Columbia,11,1,background checks,permit to purchase,handgun,Permissive,Implement
DC1050,District of Columbia,11,6,firearm sales restrictions,saturday night special ban,handgun,Restrictive,Implement
DC1052,District of Columbia,11,1,background checks,private sales,long gun,,
DC1053,District of Columbia,11,14,firearm removal at scene of domestic violence,,handgun and long gun,,
DC1054,District of Columbia,11,13,firearms in college/university,,handgun and long gun,,
DC1055,District of Columbia,11,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
DC1056,District of Columbia,11,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
DC1057,District of Columbia,11,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
DC1058,District of Columbia,11,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
DC1059,District of Columbia,11,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
DC1060,District of Columbia,11,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
DC1061,District of Columbia,11,12,local laws preempted by state,,handgun and long gun,,
FL1001,Florida,12,1,background checks,private sales,handgun,,
FL1002,Florida,12,1,background checks,sales from dealer,handgun,Restrictive,Implement
FL1003,Florida,12,1,background checks,sales from dealer,handgun,,
FL1004,Florida,12,1,background checks,sales from dealer,long gun,Restrictive,Implement
FL1005,Florida,12,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
FL1006,Florida,12,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
FL1007,Florida,12,3,castle doctrine,,handgun and long gun,Permissive,Implement
FL1008,Florida,12,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
FL1009,Florida,12,4,child access laws,negligent storage,handgun and long gun,,
FL1010,Florida,12,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
FL1011,Florida,12,5,dealer license,,handgun,,
FL1012,Florida,12,7,minimum age,youth possession,long gun,Restrictive,Implement
FL1013,Florida,12,7,minimum age,youth possession,handgun,,
FL1014,Florida,12,7,minimum age,purchase and sale,handgun,Restrictive,Implement
